No,Keyword,Search Volume,CPC,Paid Difficulty,Search Intent,Search Difficulty
52,the tamarra by irama dining menu,1000,RM0,1,"commercial, informational",24
53,subway menu price,1000,RM1.23,7,informational,29
54,menu shake shack,1000,RM0.20,14,"commercial, navigational, informational",24
55,urban daybreak cafe bangsar menu,1000,RM1.23,1,"commercial, transactional",31
56,staple dough menu,1000,RM0,1,commercial,10
57,ceylonese restaurant sdn bhd menu,1000,RM0,1,informational,15
58,mcdonald's new menu,1000,RM1.59,3,"informational, commercial",46
59,honest butcher by chef nickt menu,1000,RM1.92,2,informational,22
60,khm strawberries & jam menu,1000,RM0,1,informational,15
61,bottega pj menu,1000,RM0,1,navigational,10
62,rama v enthaicingly thai menu,1000,RM0,1,informational,25
63,richeese menu malaysia,1000,RM1.55,7,informational,12
64,khan indian cuisine menu,1000,RM1.51,4,informational,17
65,10gram ioi putrajaya menu,1000,RM1.31,1,informational,18
66,pretty's hot chicken setapak menu,1000,RM1.92,3,"commercial, transactional",24
67,the hungry beast sri damansara menu,1000,RM0,1,commercial,25
68,diva karaoke 1 utama menu,1000,RM0,1,informational,19
69,canning dim sum menu,1000,RM4.39,4,informational,11
70,ant cave pavilion bukit jalil menu,1000,RM0,1,"commercial, transactional",26
71,zus coffee price menu,1000,RM1.23,31,informational,15
72,1more pizza taman paramount pj menu,1000,RM7.19,6,transactional,17
73,din by din tai fung menu,1000,RM1.18,6,"navigational, informational",15
74,come true cafe the starhill kl menu,1000,RM0,1,informational,8
75,thai co restaurant menu,1000,RM0.76,1,"commercial, navigational",25
76,buldojang menu,1000,RM1.37,1,informational,17
77,railway briyani station menu,1000,RM1.63,6,"transactional, navigational",24
78,wheeler's george town menu,1000,RM0,1,navigational,18
79,restoran thong ne thae menu,1000,RM0,1,transactional,24
80,elly mellie cafe menu,1000,RM0.20,3,"informational, navigational",25
81,soi 55 menu,1000,RM1.84,3,informational,15
82,kluang railway coffee menu,1000,RM1.76,4,"commercial, navigational",12
83,benihana klcc menu,1000,RM2.17,2,commercial,15
84,hot crush menu,1000,RM1.72,2,"commercial, informational",39
85,thong kee menu,1000,RM2.04,4,"informational, navigational",12
86,xin cuisine chinese restaurant menu,1000,RM5.31,1,informational,12
87,10 pots steamboat & grill menu,1000,RM0,1,commercial,24
88,kopitiam menu,1000,RM1.51,3,"commercial, navigational",12
89,chef wan menu,1000,RM0.98,6,"navigational, informational, commercial",11
90,kakatoo menu,1000,RM0.98,4,informational,7
91,gravybaby menu,1000,RM0,1,informational,13
92,tapestry chow kit menu,1000,RM0,1,transactional,26
93,koffie lane petaling jaya menu,1000,RM1.25,3,"informational, navigational",19
94,cheevit cheeva menu,1000,RM1.51,1,"commercial, navigational",25
95,menu pepper lunch,1000,RM1.67,1,informational,26
96,jom cha menu,1000,RM1.84,9,informational,13
97,rich kopitiam menu,1000,RM1.67,3,"navigational, informational",16
98,erode amman mess malaysia menu,1000,RM3.59,7,"commercial, transactional, informational",15
99,fat tea macanese menu,1000,RM1.18,1,informational,16
100,menu kfc new,1000,RM1.51,10,"informational, commercial, navigational",25
101,glaze eatery tamarind square menu,1000,RM1.02,2,informational,16
102,rossi italian menu,1000,RM0.04,1,informational,12
103,marrybrown menu 2025,1000,RM0.82,1,informational,23
104,burger menu mcdonald's,1000,RM1.39,7,"navigational, informational",28
105,timothy cafe menu,1000,RM1.23,1,"informational, navigational",27
106,menu for restaurant,1000,RM2,59,informational,59
107,stick war legacy mod menu,1000,RM0,1,"informational, navigational",16
108,sol level 40 the met menu,1000,RM0,1,commercial,23
109,kani kawa menu,1000,RM2.25,1,informational,27
110,menu pak mat western,1000,RM1.88,10,informational,26
111,peaches and cream brasserie menu,1000,RM0,1,"commercial, navigational",13
112,chef kecik boulangerie tuah 1895 bukit bintang menu,1000,RM2.25,2,transactional,25
113,gold bar kl menu,1000,RM0,1,commercial,18
114,zus coffee menu price,1000,RM1.27,56,transactional,15
115,yaki soul menu,1000,RM1.06,18,"commercial, informational",25
116,kim gary menu,1000,RM1.10,10,"navigational, informational",18
117,blue reef fish & chips ttdi menu,1000,RM10.62,1,"informational, navigational",26
118,malaiqa by gula cakery menu,1000,RM2.29,7,"navigational, informational",13
119,thai garden village seafood & bbq menu,1000,RM0,1,"commercial, navigational",20
120,san francisco coffee menu,1000,RM0.94,6,"commercial, informational, navigational",25
121,cookie crumbs menu,1000,RM0.78,53,informational,25
122,alunan rasa by irama dining menu,1000,RM0,1,"commercial, informational",24
123,saba restaurant menu cyberjaya,1000,RM1.39,5,"informational, navigational",15
124,the rabbit hole kuala lumpur menu,1000,RM0,1,"informational, navigational",24
125,menu richiamo,1000,RM1.80,11,"informational, navigational",11
126,reggae cafe penang menu,1000,RM9.93,2,informational,19
127,the place steak houze menu,1000,RM0,1,commercial,26
128,103 coffee menu,1000,RM1.08,1,"commercial, informational",29
129,le mirch menu,1000,RM3.39,3,"informational, navigational",12
130,asumo menu,1000,RM9.76,2,"informational, navigational",10
131,tamarind spring restaurant menu,1000,RM0,1,informational,14
132,house of wheat chow kit menu,1000,RM1.10,1,"informational, navigational",15
133,restoran rebung chef ismail menu,1000,RM0,1,"informational, navigational",26
134,jollibee malaysia menu,1000,RM2.17,10,informational,17
135,pusing public restaurant menu,1000,RM0,1,"informational, commercial",24
136,blue dahlia menu,1000,RM0,1,commercial,25
137,edward's urban fish & chips uptown menu,1000,RM2.37,1,informational,24
138,uo shin old klang road menu,1000,RM2.45,1,navigational,15
139,fly me to kuala lumpur menu,1000,RM6.41,1,transactional,20
140,jeff lee kitchen menu,1000,RM0,1,"commercial, informational",20
141,jomamigo menu,1000,RM0,1,"commercial, navigational",26
142,brew and bread kota kemuning menu,1000,RM1.06,1,commercial,12
143,menu hari raya,1000,RM1.27,39,"informational, transactional, commercial",22
144,the chicken rice shop menu,1000,RM0.08,13,"commercial, informational",32
145,cafe salim menu,1000,RM0,1,informational,27
146,shikomi coffee menu,1000,RM0,1,"navigational, informational",26
147,menu for high tea,1000,RM0.57,9,informational,28
148,dewakan menu,1000,RM4.74,1,informational,29
149,chili's klcc menu,1000,RM1.63,5,commercial,20
150,alibaba karaoke menu,1000,RM0,1,commercial,23
151,ora dining menu,1000,RM1.72,1,informational,25
152,mee hiris china muslim menu,1000,RM1.76,5,informational,11
153,donut big apple menu,1000,RM0.98,1,"commercial, informational",27
154,rotiboy menu,1000,RM1.72,5,"navigational, informational",15
155,cookies and ginger menu,1000,RM0,1,informational,29
156,jibby east grill menu,1000,RM0,1,navigational,22
157,too yumm sashimi menu,1000,RM1.10,2,informational,15
158,rico's pizza cafe menu,1000,RM3.68,1,navigational,26
159,pak mat western cafe menu,1000,RM1.55,4,informational,21
160,rata restaurant menu,1000,RM0.65,3,"informational, commercial",19
161,kampunglah raja laut kl menu,1000,RM0,1,transactional,22
162,naknak menu price,1000,RM0,1,transactional,5
163,the coffee bean and tea leaf menu,1000,RM1.14,24,"commercial, navigational",31
164,hama japanese dining menu,1000,RM5.39,3,informational,21
165,big apple donut menu,1000,RM1.39,4,"informational, navigational",18
166,breakfast thieves apw bangsar menu,1000,RM0,1,informational,28
167,two sons on the park klcc menu,1000,RM0,1,transactional,13
168,eden by wizards menu,1000,RM0,1,informational,19
